Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
1.016663,0.07885781,0.51122773,0.94881213,0.05391989,0.04954432,-0.0284059,0.00164986,0.05713368,-0.11845409,0.21812601,0.11221379,-0.06057454,3
1.024996,0.07910612,0.51058531,0.94874114,0.05461228,0.04914594,-0.01887746,0.00502588,0.05288612,0.13206162,1.11148167,0.39470759,0.33499193,3
1.033329,0.07937929,0.51002073,0.94861114,0.0552528,0.05299396,0.0005132,0.01120453,0.05416793,0.29039091,1.59028852,0.5965578,0.48637223,3
1.041662,0.07993349,0.51062822,0.94888937,0.05612089,0.05941288,0.02266595,0.01833744,0.0661808,0.17976494,1.18713725,0.5470736,0.27281305,3
1.049996,0.08055761,0.51120591,0.94915104,0.05701068,0.06359901,0.03716007,0.02448867,0.07762344,-0.14368752,0.26224822,0.32867941,-0.0613275,3
1.058329,0.08121067,0.51181495,0.94947463,0.05796048,0.06064015,0.03337635,0.02665828,0.07417461,-0.50857943,-0.60530543,0.07957283,-0.43428263,3
1.066662,0.0816736,0.51178199,0.94959158,0.0584391,0.05032917,0.01154129,0.02340028,0.05669039,-0.7631703,-1.09411764,-0.13511655,-0.86944646,3
1.074996,0.08202228,0.51169068,0.94975054,0.05883303,0.03924616,-0.0076932,0.01967319,0.04456996,-0.80438435,-1.09200048,-0.29295558,-1.07250464,3
1.083329,0.08225441,0.51152533,0.9499073,0.0591583,0.03220869,-0.0147534,0.01689143,0.03924771,-0.57602769,-0.53056908,-0.34454751,-0.7704922,3
1.091662,0.08241758,0.51128918,0.95007151,0.05948899,0.03004071,-0.00998739,0.01548654,0.03524238,-0.15386873,0.35774043,-0.29864794,-0.17804903,3
1.099996,0.08266946,0.51123804,0.9502036,0.05977796,0.03063415,-0.00332834,0.0126106,0.03329499,0.25624701,1.02062798,-0.22789063,0.32603768,3
1.108329,0.0829609,0.51127678,0.95028394,0.06008275,0.03477401,0.00799361,0.00997488,0.03704899,0.49211282,1.14105785,-0.15669711,0.59992403,3
1.116662,0.08328072,0.5114091,0.9503355,0.06043268,0.04188919,0.02297113,0.00863675,0.04854864,0.52649117,0.80788422,-0.06383468,0.61391616,3
1.124995,0.0835956,0.51158863,0.95037603,0.0607974,0.0487638,0.03289832,0.00902954,0.05951252,0.40612236,0.24107648,0.06070781,0.43700412,3
1.133329,0.08401059,0.51192915,0.95045072,0.06133938,0.05185968,0.03146065,0.01056854,0.06157023,0.16648087,-0.45163152,0.16095886,0.13557202,3
1.141662,0.08456339,0.51244611,0.95056665,0.06210506,0.05055418,0.01917906,0.0125361,0.05550419,-0.10788052,-1.01955163,0.20278147,-0.20700973,3
1.149995,0.08508383,0.5126664,0.9506892,0.06268334,0.04714731,0.00408949,0.01480645,0.04958653,-0.23693898,-1.05153811,0.19996445,-0.38999501,3
1.158329,0.08542397,0.51250476,0.95081764,0.06308124,0.04306319,-0.00879172,0.01650042,0.04694674,-0.12408459,-0.4259811,0.19125959,-0.1836938,3
1.166662,0.08563536,0.51204866,0.95094174,0.06359904,0.04043476,-0.01346296,0.01749165,0.04606711,0.08047564,0.42545065,0.17944013,0.27131915,3
1.174995,0.08589175,0.51184183,0.95111263,0.06397013,0.04334102,-0.00173033,0.01862712,0.04720601,0.18788193,1.00384688,0.14806995,0.50607002,3
1.183329,0.08629318,0.51191539,0.95127189,0.06440822,0.04991544,0.01984306,0.0203354,0.05743541,0.16737628,1.18626702,0.10210957,0.42501965,3
1.191662,0.08678934,0.51227552,0.95144248,0.0650446,0.05341678,0.0357516,0.02172002,0.06784754,0.01310216,0.93107593,0.03854199,0.20915768,3
1.199995,0.08737212,0.51287091,0.95162195,0.06589685,0.05075907,0.03795758,0.02171227,0.06699764,-0.27246726,0.28507113,-0.05322394,-0.17386447,3
1.208328,0.08781075,0.51327127,0.95182711,0.06652516,0.04489022,0.03283156,0.02053567,0.05928539,-0.52379894,-0.34674427,-0.15878704,-0.63688529,3
1.216662,0.08809362,0.51343483,0.95202005,0.06690462,0.03844329,0.02478311,0.0184501,0.04932033,-0.57359833,-0.58411825,-0.24418792,-0.82940364,3
1.224995,0.08827719,0.51338345,0.9521578,0.0671398,0.0325725,0.01721329,0.01592166,0.04013433,-0.4697248,-0.50319123,-0.29208896,-0.72632343,3
1.233328,0.08853573,0.51350099,0.95225531,0.06744009,0.02950956,0.01410788,0.01315241,0.03525383,-0.35776457,-0.39865813,-0.30400881,-0.57972544,3
